,City,Country,Date,Lat,Long,Temperature,Humidity,Wind Speed,Cloud Cover
6,esperance,AU,1584039698,-33.87,121.9,62.6,88,5.82,90
9,constitucion,CL,1584039698,-35.33,-72.42,67.46,66,7.36,16
13,avarua,CK,1584039503,-21.21,-159.78,77.0,94,6.93,68
14,rikitea,PF,1584039699,-23.12,-134.97,77.0,80,20.2,17
15,ushuaia,AR,1584039699,-54.8,-68.3,57.99,67,3.36,40
17,lebu,CL,1584039648,-37.62,-73.65,73.58,50,8.37,60
18,saldanha,ZA,1584039466,-33.01,17.94,66.2,72,6.93,0
20,faanui,PF,1584039700,-16.48,-151.75,83.48,71,15.26,100
21,carnarvon,AU,1584039700,-24.87,113.63,78.8,78,13.87,40
22,bambous virieux,MU,1584039700,-20.26,57.41,78.39,94,6.93,75
24,hithadhoo,MV,1584039628,-0.6,73.08,83.48,71,11.81,0
25,kruisfontein,ZA,1584039700,-34.0,24.73,70.34,86,16.46,40
26,vaini,TO,1584039623,-21.2,-175.2,77.0,100,4.7,75
27,atuona,PF,1584039700,-9.8,-139.03,81.86,74,11.9,2
29,port hardy,CD,1584039700,-7.03,29.76,78.44,70,4.41,100
36,hobart,AU,1584039619,-42.88,147.33,67.08,40,14.99,60
39,mataura,NZ,1584039701,-46.19,168.86,46.99,92,1.01,3
42,port lincoln,CD,1584039701,-7.03,29.76,78.44,70,4.41,100
45,ancud,CL,1584039702,-41.87,-73.82,60.8,100,13.87,90
47,busselton,AU,1584039702,-33.65,115.33,61.77,42,17.11,86
51,saint-philippe,RE,1584039702,-21.36,55.77,77.43,88,4.7,75
53,banjarmasin,ID,1584039610,-3.32,114.59,80.78,83,5.03,100
55,cape town,CL,1584039703,-36.41,-71.9,80.6,39,8.05,20
57,nabire,ID,1584039703,-3.37,135.48,72.86,92,2.13,96
58,chuy,UY,1584039703,-33.7,-53.46,90.5,44,8.1,47
60,touros,BR,1584039703,-5.2,-35.46,80.6,83,6.93,75
61,urucui,BR,1584039703,-7.23,-44.56,87.98,61,2.71,50
62,castro,BR,1584039703,-24.79,-50.01,79.88,48,6.38,19
64,mahebourg,MU,1584039703,-20.41,57.7,78.44,94,6.93,75
68,bredasdorp,ZA,1584039704,-34.53,20.04,66.2,88,4.7,21
73,port alfred,CD,1584039701,-7.03,29.76,78.44,70,4.41,100
75,coruripe,BR,1584039624,-10.13,-36.18,83.12,74,14.9,62
76,honiara,SB,1584039704,-9.43,159.95,77.0,88,8.05,90
78,airai,TL,1584039705,-8.93,125.41,66.92,96,1.99,75
79,tsaratanana,MG,1584039705,-16.78,47.65,71.6,74,9.71,29
82,tautira,PF,1584039705,-17.73,-149.15,84.09,74,5.82,75
86,pisco,PE,1584039705,-13.7,-76.22,74.34,30,12.75,59
88,geraldton,AU,1584039706,-28.77,114.6,70.2,73,5.82,50
89,biloela,AU,1584039706,-24.42,150.5,64.58,71,19.1,0
97,vanimo,PG,1584039706,-2.67,141.3,82.04,79,7.99,75
98,alofi,NU,1584039651,-19.06,-169.92,77.0,94,3.36,100
102,ayabaca,PE,1584039707,-4.64,-79.71,70.34,84,3.22,59
107,arraial do cabo,BR,1584039707,-22.84,-46.65,85.78,38,8.05,20
108,bethanien,NA,1584039708,-26.5,17.16,77.9,16,12.15,0
113,port elizabeth,CD,1584039701,-7.03,29.76,78.44,70,4.41,100
114,souillac,MU,1584039708,-20.52,57.52,78.42,94,6.93,75
116,isangel,VU,1584039708,-19.55,169.27,78.08,81,5.64,76
120,pilar,BR,1584039708,-9.6,-35.96,80.6,83,13.87,75
121,buala,SB,1584039709,-8.14,159.59,77.72,84,14.97,100
123,codrington,AU,1584039709,-38.27,141.97,68.36,64,18.12,90
126,bengkulu,ID,1584039709,-3.8,102.27,75.02,91,3.58,100
135,gladstone,AU,1584039710,-23.85,151.25,71.6,64,14.99,11
137,caucaia,BR,1584039710,-3.74,-38.65,82.2,78,3.36,75
138,necochea,AR,1584039710,-38.55,-58.74,87.51,65,1.99,28
139,hermanus,ZA,1584039710,-34.42,19.23,61.0,89,1.01,3
141,kavieng,PG,1584039711,-2.57,150.8,84.02,73,8.12,100
142,mackay,AU,1584039619,-21.15,149.2,74.12,88,14.99,90
144,cabo san lucas,BR,1584039711,-8.28,-35.03,86.0,66,9.17,40
147,montepuez,MZ,1584039711,-13.13,39.0,72.14,97,5.86,39
151,pangai,TO,1584039711,-19.8,-174.35,77.0,100,2.77,75
156,bluff,NZ,1584039712,-46.6,168.33,46.99,92,1.01,87
160,katherine,AU,1584039712,-14.47,132.27,77.0,78,5.82,100
161,maldonado,UY,1584039712,-34.67,-54.92,76.5,78,10.29,75
167,cidreira,BR,1584039713,-30.18,-50.21,76.64,81,11.36,97
168,vilhena,BR,1584039675,-12.74,-60.15,80.06,87,2.91,59
