,City,Country,Date,Lat,Long,Temperature,Humidity,Wind Speed,Cloud Cover
0,tasiilaq,GL,1583962851,65.61,-37.64,8.6,65,4.7,1
1,vilyuysk,RU,1583962851,63.76,121.62,-27.63,98,6.42,0
2,jamestown,US,1583962851,42.1,-79.24,39.85,80,6.93,90
3,adrar,MR,1583962851,20.5,-10.07,72.41,7,7.34,0
4,albany,US,1583962742,42.6,-73.97,42.3,44,5.61,40
5,hualmay,PE,1583962851,-11.1,-77.61,78.94,53,9.13,24
6,pacific grove,US,1583962851,38.48,-90.74,61.07,55,6.93,1
7,nohar,IN,1583962852,29.18,74.77,63.54,63,5.37,0
8,norman wells,US,1583962740,35.22,-97.44,75.36,46,9.17,1
9,zhigansk,RU,1583962595,66.77,123.37,-26.91,97,15.48,11
10,nhulunbuy,AU,1583962781,-12.23,136.77,80.6,94,5.82,75
11,thompson,CA,1583962852,55.74,-97.86,26.6,49,6.93,75
12,vaini,TO,1583962852,-21.2,-175.2,78.8,94,4.7,75
13,makat,KZ,1583962852,47.65,53.35,46.78,39,14.5,56
14,lorengau,PG,1583962852,-2.02,147.27,83.88,71,11.1,84
15,ancud,CL,1583962601,-41.87,-73.82,64.4,59,10.29,38
16,palmer,US,1583962852,42.16,-72.33,50.14,29,2.26,90
17,iqaluit,CA,1583962622,63.75,-68.51,-9.22,63,11.41,20
18,bredasdorp,ZA,1583962852,-34.53,20.04,69.89,64,12.75,100
19,veraval,IN,1583962853,20.9,70.37,62.46,65,6.73,0
20,cape town,CL,1583962853,-36.41,-71.9,86.0,30,2.24,100
21,komsomolskiy,UZ,1583962853,40.43,71.72,38.93,52,6.93,99
22,suez,EG,1583962853,29.97,32.53,74.46,41,14.36,100
23,pervomayskoye,RU,1583962853,43.92,46.71,53.55,59,0.74,0
24,nanortalik,GL,1583962601,60.14,-45.24,28.22,74,4.27,16
25,hermanus,ZA,1583962582,-34.42,19.23,69.57,83,8.99,99
26,kindia,GN,1583962853,10.06,-12.87,72.63,82,5.32,3
27,aracuai,BR,1583962853,-16.85,-42.07,72.79,92,4.45,55
28,faanui,PF,1583962729,-16.48,-151.75,82.72,73,10.22,87
29,rikitea,PF,1583962853,-23.12,-134.97,77.45,82,15.61,1
30,ushuaia,AR,1583962854,-54.8,-68.3,48.2,81,12.75,90
31,gornopravdinsk,RU,1583962854,60.05,69.9,33.64,99,7.07,100
32,pita,GN,1583962854,10.83,-12.58,73.58,16,3.96,0
33,bengkulu,ID,1583962854,-3.8,102.27,74.95,94,4.68,93
34,tuatapere,NZ,1583962854,-46.13,167.68,50.41,64,1.1,3
35,mataura,NZ,1583962854,-46.19,168.86,48.38,85,3.04,44
36,hobart,AU,1583962581,-42.88,147.33,54.81,76,9.17,29
37,punta arenas,PH,1583962854,8.99,125.34,72.84,92,7.02,57
38,port hardy,CD,1583962854,-7.03,29.76,77.32,75,7.16,100
39,cartagena,CO,1583962854,10.4,-75.51,89.6,55,13.87,40
40,upernavik,GL,1583962756,72.79,-56.15,-22.09,93,6.08,74
41,torbay,CA,1583962855,47.67,-52.73,35.1,100,12.75,90
42,crawfordsville,US,1583962855,40.04,-86.87,44.17,87,6.93,90
43,chuy,UY,1583962855,-33.7,-53.46,74.73,76,11.54,100
44,east london,IS,1583962855,65.0,-15.0,32.0,95,23.04,75
45,port augusta,CD,1583962855,-7.03,29.76,77.32,75,7.16,100
46,tuktoyaktuk,CA,1583962855,69.45,-133.04,-20.2,68,14.99,75
47,aviles,ES,1583962855,43.55,-5.92,55.67,87,3.36,75
48,meulaboh,ID,1583962726,4.14,96.13,81.75,79,5.79,89
49,tabuk,PH,1583962855,17.42,121.44,69.94,93,1.25,36
50,kapaa,US,1583962591,22.08,-159.32,76.96,73,8.05,1
51,saskylakh,RU,1583962855,71.92,114.08,-3.57,89,20.71,100
52,ahipara,NZ,1583962855,-35.17,173.17,66.81,71,8.72,0
53,taksimo,RU,1583962855,56.34,114.88,-22.99,78,3.15,0
54,kavieng,PG,1583962856,-2.57,150.8,84.06,73,11.74,86
55,saint-philippe,RE,1583962621,-21.36,55.77,75.49,94,18.34,93
56,ilulissat,GL,1583962856,69.22,-51.1,-0.4,64,6.93,75
57,dikson,RU,1583962583,73.51,80.55,-16.08,93,23.29,69
58,saldanha,ZA,1583962585,-33.01,17.94,62.6,88,6.93,0
59,nikolskoye,RU,1583962856,59.7,30.79,39.11,86,6.71,75
60,port alfred,CD,1583962855,-7.03,29.76,77.32,75,7.16,100
61,kudahuvadhoo,MV,1583962856,2.67,72.89,83.17,70,9.22,94
62,manavgat,TR,1583962856,36.79,31.44,55.4,50,5.82,100
63,khatanga,RU,1583962856,71.97,102.5,14.2,93,14.99,100
64,prince rupert,CA,1583962856,52.97,-108.38,34.27,80,18.34,75
65,busselton,AU,1583962857,-33.65,115.33,61.47,51,13.22,80
66,college,US,1583962857,64.86,-147.8,-7.02,83,2.77,1
67,baijiantan,CN,1583962857,45.63,85.18,27.23,61,11.88,0
68,port keats,CD,1583962854,-7.03,29.76,77.32,75,7.16,100
69,longyearbyen,SJ,1583962601,78.22,15.64,-20.2,55,6.93,20
