,City,Country,Date,Lat,Long,Temperature,Humidity,Wind Speed,Cloud Cover
0,severo-kurilsk,RU,1584039698,50.68,156.12,18.5,76,24.07,96
1,goldsboro,US,1584039698,35.38,-77.99,72.72,68,6.31,1
2,tilichiki,RU,1584039698,60.47,166.1,26.06,86,25.68,100
3,elizabeth city,US,1584039698,40.66,-74.21,47.14,81,8.05,90
4,wasilla,US,1584039698,61.58,-149.44,1.76,77,4.7,75
5,provideniya,RU,1584039646,64.38,-173.3,27.32,97,26.55,100
6,esperance,AU,1584039698,-33.87,121.9,62.6,88,5.82,90
7,tasiilaq,GL,1584039698,65.61,-37.64,12.2,66,18.34,75
8,pangnirtung,CA,1584039698,66.15,-65.71,-13.0,62,2.24,40
9,constitucion,CL,1584039698,-35.33,-72.42,67.46,66,7.36,16
10,salalah,OM,1584039698,17.02,54.09,77.0,65,4.7,16
11,meulaboh,ID,1584039698,4.14,96.13,84.38,74,5.26,100
12,beatrice,US,1584039699,40.27,-96.75,55.62,54,25.28,40
13,avarua,CK,1584039503,-21.21,-159.78,77.0,94,6.93,68
14,rikitea,PF,1584039699,-23.12,-134.97,77.0,80,20.2,17
15,ushuaia,AR,1584039699,-54.8,-68.3,57.99,67,3.36,40
16,kloulklubed,PW,1584039699,7.04,134.26,80.6,78,8.05,75
17,lebu,CL,1584039648,-37.62,-73.65,73.58,50,8.37,60
18,saldanha,ZA,1584039466,-33.01,17.94,66.2,72,6.93,0
19,southbridge,US,1584039699,42.08,-72.03,47.68,52,6.08,90
20,faanui,PF,1584039700,-16.48,-151.75,83.48,71,15.26,100
21,carnarvon,AU,1584039700,-24.87,113.63,78.8,78,13.87,40
22,bambous virieux,MU,1584039700,-20.26,57.41,78.39,94,6.93,75
23,nanortalik,GL,1584039700,60.14,-45.24,25.34,76,11.77,0
24,hithadhoo,MV,1584039628,-0.6,73.08,83.48,71,11.81,0
25,kruisfontein,ZA,1584039700,-34.0,24.73,70.34,86,16.46,40
26,vaini,TO,1584039623,-21.2,-175.2,77.0,100,4.7,75
27,atuona,PF,1584039700,-9.8,-139.03,81.86,74,11.9,2
28,gaya,IN,1584039700,24.78,85.0,71.6,83,4.7,40
29,port hardy,CD,1584039700,-7.03,29.76,78.44,70,4.41,100
30,misratah,LY,1584039700,32.38,15.09,59.72,71,15.55,0
31,mount isa,GB,1584039701,53.66,-1.85,42.35,75,28.86,40
32,lemont,US,1584039589,41.67,-88.0,51.98,87,17.22,90
33,jiexiu,CN,1584039701,37.02,111.91,37.04,52,4.88,85
34,khatanga,RU,1584039701,71.97,102.5,-21.82,85,15.14,100
35,hasaki,JP,1584039701,35.73,140.83,46.06,81,3.36,75
36,hobart,AU,1584039619,-42.88,147.33,67.08,40,14.99,60
37,mys shmidta,RU,1584039701,62.06,48.62,34.52,99,11.03,100
38,sibu,MY,1584039507,2.3,111.82,78.49,94,0.51,75
39,mataura,NZ,1584039701,-46.19,168.86,46.99,92,1.01,3
40,qaanaaq,GL,1584039701,77.48,-69.36,-17.32,47,5.75,0
41,bethel,US,1584039622,41.37,-73.41,46.54,75,13.87,90
42,port lincoln,CD,1584039701,-7.03,29.76,78.44,70,4.41,100
43,jamestown,US,1584039702,42.1,-79.24,51.12,70,5.82,75
44,albany,US,1584039702,42.6,-73.97,48.58,34,16.11,75
45,ancud,CL,1584039702,-41.87,-73.82,60.8,100,13.87,90
46,hilo,US,1584039607,19.73,-155.09,67.62,69,6.93,90
